parcel_id,municipal_plot_id,cadastral_owner,municipal_owner,owner_similarity,relationship,reference_area_sqm,municipal_area_sqm,area_difference_sqm_owner,area_difference_percent,severity,geometry_similarity,centroid_distance_m,area_difference_sqm_geometry,conflict_type,reason,recommendation,overall_status
P0024,M-8023,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0025,M-8024,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0026,M-8025,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0027,M-8026,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0028,M-8027,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0029,M-8028,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0030,M-8029,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0031,M-8030,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1236.0,36.0,3.0,MODERATE,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,REVIEW REQUIRED
P0032,M-8031,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0033,M-8032,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0034,M-8033,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0035,M-8034,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0036,M-8035,Amit S.,Sunita Pawar,33.33,OWNER CONFLICT,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,REVIEW REQUIRED
P0037,M-8036,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0038,M-8037,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0039,M-8038,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0040,M-8039,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0041,M-8040,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,82.23,2.5,0.0,MODERATE GEOMETRY CONFLICT,Municipal boundary appears spatially shifted.,Officer review required.,NO MAJOR CONFLICT
P0042,M-8041,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0043,M-8042,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0044,M-8043,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0045,M-8044,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0046,M-8045,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0047,M-8046,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0048,M-8047,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0049,M-8048,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0050,M-8049,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0051,M-8050,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1152.0,48.0,4.0,MODERATE,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,REVIEW REQUIRED
P0052,M-8051,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0053,M-8052,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0054,M-8053,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0055,M-8054,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0056,M-8055,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0057,M-8056,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0058,M-8057,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0059,M-8058,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0060,M-8059,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0061,M-8060,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0062,M-8061,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0063,M-8062,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0064,M-8063,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0065,M-8064,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0066,M-8065,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0067,M-8066,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0068,M-8067,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0069,M-8068,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0070,M-8069,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0071,M-8070,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0072,M-8071,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0073,M-8072,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0074,M-8073,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0075,M-8074,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0076,M-8075,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0077,M-8076,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0078,M-8077,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0079,M-8078,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0080,M-8079,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0081,M-8080,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0082,M-8081,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0083,M-8082,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0084,M-8083,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0085,M-8084,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0086,M-8085,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0087,M-8086,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0088,M-8087,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0089,M-8088,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0090,M-8089,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0091,M-8090,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0092,M-8091,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0093,M-8092,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0094,M-8093,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0095,M-8094,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0096,M-8095,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0097,M-8096,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0098,M-8097,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0099,M-8098,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0100,M-8099,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0101,M-8100,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1248.0,48.0,4.0,MODERATE,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,REVIEW REQUIRED
P0102,M-8101,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0103,M-8102,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0104,M-8103,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0105,M-8104,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0106,M-8105,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0107,M-8106,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0108,M-8107,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0109,M-8108,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0110,M-8109,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0111,M-8110,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
