parcel_id,municipal_plot_id,cadastral_owner,municipal_owner,owner_similarity,relationship
P0065,M-8064,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0066,M-8065,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0067,M-8066,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0068,M-8067,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0069,M-8068,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0070,M-8069,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0071,M-8070,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0072,M-8071,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0073,M-8072,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0074,M-8073,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0075,M-8074,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0076,M-8075,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0077,M-8076,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0078,M-8077,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0079,M-8078,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0080,M-8079,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0081,M-8080,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0082,M-8081,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0083,M-8082,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0084,M-8083,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0085,M-8084,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0086,M-8085,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0087,M-8086,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0088,M-8087,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0089,M-8088,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0090,M-8089,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0091,M-8090,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0092,M-8091,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0093,M-8092,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0094,M-8093,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0095,M-8094,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0096,M-8095,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0097,M-8096,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0098,M-8097,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0099,M-8098,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0100,M-8099,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0101,M-8100,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0102,M-8101,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0103,M-8102,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0104,M-8103,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0105,M-8104,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0106,M-8105,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0107,M-8106,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0108,M-8107,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0109,M-8108,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0110,M-8109,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0111,M-8110,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0112,M-8111,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0113,M-8112,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0114,M-8113,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0115,M-8114,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0116,M-8115,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0117,M-8116,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0118,M-8117,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0119,M-8118,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0120,M-8119,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0121,M-8120,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0122,M-8121,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0123,M-8122,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0124,M-8123,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0125,M-8124,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0126,M-8125,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0127,M-8126,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0128,M-8127,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0129,M-8128,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0130,M-8129,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0131,M-8130,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0132,M-8131,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0133,M-8132,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0134,M-8133,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0135,M-8134,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0136,M-8135,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0137,M-8136,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0138,M-8137,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0139,M-8138,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0140,M-8139,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0141,M-8140,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0142,M-8141,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0143,M-8142,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0144,M-8143,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0145,M-8144,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0146,M-8145,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0147,M-8146,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0148,M-8147,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0149,M-8148,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0150,M-8149,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0151,M-8150,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0152,M-8151,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0153,M-8152,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0154,M-8153,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0155,M-8154,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0156,M-8155,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0157,M-8156,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0158,M-8157,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0159,M-8158,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0160,M-8159,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0161,M-8160,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0162,M-8161,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0163,M-8162,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0164,M-8163,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0165,M-8164,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0166,M-8165,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0167,M-8166,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0168,M-8167,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0169,M-8168,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0170,M-8169,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0171,M-8170,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0172,M-8171,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0173,M-8172,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0174,M-8173,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0175,M-8174,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0176,M-8175,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0177,M-8176,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0178,M-8177,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0179,M-8178,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0180,M-8179,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0181,M-8180,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0182,M-8181,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0183,M-8182,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0184,M-8183,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0185,M-8184,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0186,M-8185,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0187,M-8186,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0188,M-8187,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0189,M-8188,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0190,M-8189,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0191,M-8190,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0192,M-8191,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0193,M-8192,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0194,M-8193,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0195,M-8194,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0196,M-8195,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0197,M-8196,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0198,M-8197,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0199,M-8198,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0200,M-8199,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0201,M-8200,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0202,M-8201,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0203,M-8202,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0204,M-8203,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0205,M-8204,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0206,M-8205,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0207,M-8206,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0208,M-8207,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0209,M-8208,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0210,M-8209,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0211,M-8210,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0212,M-8211,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0213,M-8212,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0214,M-8213,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0215,M-8214,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0216,M-8215,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0217,M-8216,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0218,M-8217,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0219,M-8218,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0220,M-8219,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0221,M-8220,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0222,M-8221,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0223,M-8222,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0224,M-8223,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0225,M-8224,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0226,M-8225,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0227,M-8226,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0228,M-8227,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0229,M-8228,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0230,M-8229,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0231,M-8230,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0232,M-8231,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0233,M-8232,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0234,M-8233,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0235,M-8234,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0236,M-8235,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0237,M-8236,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0238,M-8237,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0239,M-8238,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0240,M-8239,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0241,M-8240,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0242,M-8241,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0243,M-8242,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0244,M-8243,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0245,M-8244,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0246,M-8245,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0247,M-8246,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0248,M-8247,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0249,M-8248,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0250,M-8249,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0251,M-8250,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0252,M-8251,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0253,M-8252,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0254,M-8253,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0255,M-8254,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0256,M-8255,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0257,M-8256,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0258,M-8257,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0259,M-8258,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0260,M-8259,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0261,M-8260,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0262,M-8261,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0263,M-8262,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0264,M-8263,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0265,M-8264,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0266,M-8265,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0267,M-8266,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0268,M-8267,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0269,M-8268,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0270,M-8269,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0271,M-8270,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0272,M-8271,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0273,M-8272,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0274,M-8273,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0275,M-8274,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0276,M-8275,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0277,M-8276,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0278,M-8277,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0279,M-8278,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0280,M-8279,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0281,M-8280,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0282,M-8281,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0283,M-8282,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0284,M-8283,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0285,M-8284,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0286,M-8285,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0287,M-8286,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0288,M-8287,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0289,M-8288,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0290,M-8289,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0291,M-8290,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0292,M-8291,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0293,M-8292,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0294,M-8293,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0295,M-8294,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0296,M-8295,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0297,M-8296,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0298,M-8297,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0299,M-8298,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0300,M-8299,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0301,M-8300,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0302,M-8301,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0303,M-8302,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0304,M-8303,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0305,M-8304,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0306,M-8305,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0307,M-8306,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0308,M-8307,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0309,M-8308,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0310,M-8309,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0311,M-8310,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0312,M-8311,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0313,M-8312,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0314,M-8313,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0315,M-8314,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0316,M-8315,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0317,M-8316,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0318,M-8317,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0319,M-8318,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0320,M-8319,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0321,M-8320,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0322,M-8321,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0323,M-8322,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
